Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C67,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.8425,-108.9025,90,top
C70,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.9865,-124.8283,0,top
C71,47uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.9865,-122.1105,180,top
C72,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.145,-105.41,180,top
C73,22uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.145,-102.87,0,top
D1,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,115.3795,-89.154,180,top
D2,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-55.626,0,top
D3,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-53.086,0,top
D4,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-68.326,0,top
D5,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-70.866,0,top
D6,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-65.786,0,top
D7,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-73.406,0,top
D8,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-81.026,0,top
D9,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-86.106,0,top
D10,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-58.166,0,top
D11,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-78.486,0,top
D12,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-75.946,0,top
D13,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-63.246,0,top
D14,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-60.706,0,top
D15,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.3525,-83.566,0,top
D16,MBR120LSFT3G,D_SOD-123F,129.286,-111.252,270,top
D17,PGOOD,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,91.694,-135.128,0,top
D18,FAULT,LED_0805_2012Metric_Castellated,85.598,-135.128,0,top
D19,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-104.14,0,top
D20,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-101.6,0,top
D21,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-127,0,top
D22,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-116.84,0,top
D23,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-132.08,0,top
D24,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-129.54,0,top
D25,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-124.46,0,top
D26,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-121.92,0,top
D27,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-106.68,0,top
D28,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-119.38,0,top
D29,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-111.76,0,top
D30,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-109.22,0,top
D31,D,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,153.035,-114.3,0,top
L1,1uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,117.602,-61.341,90,top
L2,1uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,115.824,-66.929,180,top
L3,1uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,131.826,-61.468,0,top
L4,1uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,131.826,-66.675,0,top
L5,1uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,132.207,-57.658,270,top
L6,1.5uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,110.871,-114.427,90,top
L7,1.5uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,110.871,-118.745,270,top
L8,1.5uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,120.904,-126.873,0,top
L9,1.5uH,L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,134.112,-118.2878,270,top
L10,2.2uH,L_Coilcraft_LPS4018,133.096,-111.379,0,top
Q1,FDMA908PZ,Vishay_PowerPAK_SC70-6L_Single,146.685,-114.3,0,top
Q2,Q_PMOS_GSD,SOT-23,91.44,-130.81,180,top
Q3,Q_PMOS_GSD,SOT-23,85.725,-130.81,270,top
R1,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.49,-89.154,0,top
R2,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-55.626,180,top
R3,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-53.086,180,top
R4,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-68.326,180,top
R5,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-70.866,180,top
R6,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-65.786,180,top
R7,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-73.406,180,top
R8,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.631,-75.184,90,top
R9,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-81.026,180,top
R10,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-86.106,180,top
R11,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-58.166,180,top
R12,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-78.486,180,top
R13,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-75.946,180,top
R14,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-63.246,180,top
R15,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-60.706,180,top
R16,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.3375,-83.566,180,top
